date,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
10/3/17 1:00,55.2,16.98,3019.53,557434,395713,100664,1.74,249214,253235,250576,295096,306.4,250225,250884,457396,432962,424954,443558,502255,446.37,523344,66.91,1.31
10/3/17 1:00,55.2,16.98,3024.41,563965,397383,100672,1.74,249719,250532,250862,295096,306.4,250137,248994,451891,429.56,432939,448086,496363,445922,498075,66.91,1.31
10/3/17 1:00,55.2,16.98,3043.46,568054,399668,10068,1.74,249741,247874,250313,295096,306.4,251345,248071,451.24,468927,434.61,449688,484411,447826,458567,66.91,1.31
10/3/17 1:00,55.2,16.98,3047.36,568665,397939,100689,1.74,249917,254487,250049,295096,306.4,250422,251147,452441,458165,442865,446.21,471411,437.69,427669,66.91,1.31
10/3/17 1:00,55.2,16.98,3033.69,558167,400254,100697,1.74,250203,252136,249895,295096,306.4,249983,248928,452441,452.9,450523,453.67,462598,443682,425679,66.91,1.31
10/3/17 1:00,55.2,16.98,3079.1,564697,396533,100705,1.74,250.73,248906,249521,295096,306.4,250356,251873,444384,443269,460449,439.92,451588,433539,425458,66.91,1.31
10/3/17 1:00,55.2,16.98,3127.79,566467,392.9,100713,1.74,250313,252202,249082,295096,306.4,250.95,253477,446185,444571,452306,431328,443548,444575,431251,66.91,1.31
10/3/17 1:00,55.2,16.98,3152.93,558777,397002,100722,1.74,249895,253.63,249258,295096,306.4,249456,253345,445985,461341,461.64,442067,441.73,461.77,449679,66.91,1.31
10/3/17 1:00,55.2,16.98,3147.27,556.03,394307,10073,1.74,250137,251104,248774,295096,306.4,248577,250884,446686,478385,459103,455074,439798,457738,455915,66.91,1.31
10/3/17 1:00,55.2,16.98,3142.58,565857,393105,100738,1.74,249653,252202,248203,295096,306.4,248511,248137,445685,478779,460665,457225,453236,449898,455.75,66.91,1.31
10/3/17 1:00,55.2,16.98,3148.05,561951,396533,100746,1.74,249236,250818,250225,295096,306.4,250203,246797,456495,438.06,466332,458005,455493,448.05,452663,66.91,1.31
10/3/17 1:00,55.2,16.98,3150.39,558472,397852,100755,1.74,249.17,249829,251147,295096,306.4,250928,246533,461.45,421.41,467.79,458.59,453.84,448.05,451.34,66.91,1.31
10/3/17 1:00,55.2,16.98,3280.27,564026,393545,100763,1.74,249016,249829,251147,295096,306.4,249543,251147,457947,425372,453818,453942,459629,443738,460608,66.91,1.31
10/3/17 1:00,55.2,16.98,3411.13,567261,394.16,100771,1.74,249258,250137,251609,295096,306.4,248643,249587,448037,428.26,447074,458516,472134,461.49,467667,66.91,1.31
10/3/17 1:00,55.2,16.98,3447.46,561646,392549,100779,1.74,249.39,251191,250269,295096,306.4,249434,250225,433923,418459,431266,465705,481442,479298,471307,66.91,1.31
10/3/17 1:00,55.2,16.98,3562.7,560364,394688,100788,1.74,250005,252202,249456,295096,306.4,250598,248.84,434674,416.42,435956,459922,484.36,457.85,473847,66.91,1.31
10/3/17 1:00,55.2,16.98,3707.03,563049,396504,100796,1.74,250115,249.39,249697,295096,306.4,251082,250774,446736,398407,444212,444.88,471964,439874,470261,66.91,1.31
10/3/17 1:00,55.2,16.98,3784.96,557983,394834,100804,1.74,250049,246533,249829,295096,306.4,250378,248643,451991,426335,443024,429998,452629,440.77,463421,66.91,1.31
10/3/17 1:00,55.2,16.98,3798.05,563.11,396709,100812,1.74,250203,248181,250291,295096,306.4,250203,249807,447537,428318,445292,425.78,433191,453034,451617,66.91,1.31
10/3/17 1:00,55.2,16.98,3866.6,564.27,398262,100821,1.74,250269,247939,249719,295096,306.4,250422,251543,452441,443155,444104,418668,409287,453.65,437.82,66.91,1.31
10/3/17 1:00,55.2,16.98,3907.42,568054,394951,100829,1.74,250115,249258,249697,295096,306.4,250642,248884,439679,451199,446372,420548,403.83,438.25,413212,66.91,1.31
10/3/17 1:00,55.2,16.98,3705.66,560669,396123,100837,1.74,250356,251433,249521,295096,306.4,250.4,249324,441681,446.1,444428,421288,397113,431586,405595,66.91,1.31
10/3/17 1:00,55.2,16.98,3554.3,572449,395.01,100845,1.74,250488,247104,249236,295096,306.4,250115,249.28,447186,468245,451657,449687,399592,437.13,399916,66.91,1.31
10/3/17 1:00,55.2,16.98,3523.24,563416,394453,100854,1.74,250181,247456,249324,295096,306.4,249434,248181,453542,500023,454624,458008,414796,460818,403059,66.91,1.31
10/3/17 1:00,55.2,16.98,3514.65,565613,400986,100862,1.74,249.28,252971,251697,295096,306.4,249324,251543,450.69,492148,458458,458714,419473,463618,415585,66.91,1.31
10/3/17 1:00,55.2,16.98,3492.58,569031,408018,100875,1.74,248.95,252883,250686,295096,306.4,250159,248972,451.24,504664,456838,456.76,428394,458186,434562,66.91,1.31
10/3/17 1:00,55.2,16.98,3508.98,568848,398994,10089,1.74,249412,252949,249214,295096,306.4,249873,251191,449989,484614,458782,485549,442769,451.13,440.08,66.91,1.31
10/3/17 1:00,55.2,16.98,3537.3,557312,400488,100906,1.74,249609,253191,249258,295096,306.4,249456,249983,438077,440264,464013,474647,461111,456.45,455199,66.91,1.31
10/3/17 1:00,55.2,16.98,3555.86,562195,404766,100921,1.74,249763,247896,249851,295096,306.4,250005,249807,443933,433241,461479,476.21,468607,466082,474567,66.91,1.31
10/3/17 1:00,55.2,16.98,3570.12,571533,401572,100936,1.74,250291,251653,251279,295096,306.4,252114,250115,448438,425826,461.59,485898,482759,466418,479645,66.91,1.31
10/3/17 1:00,55.2,16.98,3579.69,571167,394.57,100951,1.74,254487,257607,255498,295096,306.4,254597,253586,436876,436474,460132,456719,485845,452474,480.25,66.91,1.31
10/3/17 1:00,55.2,16.98,3565.63,562805,393516,100967,1.74,258662,259211,256465,295096,306.4,256245,253564,438578,431037,439896,449646,478908,439874,477493,66.91,1.31
10/3/17 1:00,55.2,16.98,3550.39,566101,396504,100982,1.74,259255,254817,254202,295096,306.4,257256,252905,444233,436643,415022,444136,455.99,441946,468442,66.91,1.31
10/3/17 1:00,55.2,16.98,3546.88,568848,397559,100997,1.74,259058,252905,253345,295096,306.4,257.52,252905,445435,441.23,407.9,440.62,447.23,444.13,465.13,66.91,1.31
10/3/17 1:00,55.2,16.98,3613.87,567139,398994,101013,1.74,257981,251829,251.96,295096,306.4,257.52,252444,464003,463434,413941,437.89,432579,446874,452383,66.91,1.31
10/3/17 1:00,55.2,16.98,3680.86,561707,399199,101028,1.74,257212,252.29,251.06,295096,306.4,257212,252554,467756,498325,428619,429608,412041,451186,434565,66.91,1.31
10/3/17 1:00,55.2,16.98,3719.14,563.11,402715,101043,1.74,256465,252378,250313,295096,306.4,256772,252224,467706,502.06,442487,425741,398986,448.61,423089,66.91,1.31
10/3/17 1:00,55.2,16.98,3725.78,570129,403887,101059,1.74,256816,252.4,250203,295096,306.4,256333,251873,468457,495437,458.67,428.4,385216,445754,432025,66.91,1.31
10/3/17 1:00,55.2,16.98,3734.18,569946,400.02,101074,1.74,256311,247544,250576,295096,306.4,256509,251191,465304,284561,456457,437068,394471,442506,422318,66.91,1.31
10/3/17 1:00,55.2,16.98,3747.85,567139,403359,101089,1.74,254751,245588,250554,295096,306.4,256487,250466,458698,3288555,461151,459648,413524,439.37,417185,66.91,1.31
10/3/17 1:00,55.2,16.98,3766.99,579224,406084,101104,1.74,254531,248884,250488,295096,306.4,255959,250269,452942,373.15,482.68,472891,425699,455778,423476,66.91,1.31
10/3/17 1:00,55.2,16.98,3804.88,598389,403477,10112,1.74,254355,250884,250334,295096,306.4,255762,250422,457396,486826,490828,444921,415399,471.01,438315,66.91,1.31
10/3/17 1:00,55.2,16.98,3816.99,600.83,402861,101135,1.74,254.07,251763,249346,295096,306.4,255916,250796,452241,508292,474.75,432849,412097,470.45,480689,66.91,1.31
10/3/17 1:00,55.2,16.98,3812.3,599365,403516,10115,1.74,254736,247339,248.95,295096,306.4,254956,250195,461617,513163,462757,455.08,419.33,462.05,480393,66.91,1.31
10/3/17 1:00,55.2,16.98,3818.75,595001,403.14,101166,1.74,254817,248.28,249.95,295096,306.4,254586,250115,462751,515.94,458485,466273,434.26,438299,458319,66.91,1.31
10/3/17 1:00,55.2,16.98,3820.9,589874,394834,101181,1.74,254092,246193,250917,295096,306.4,254663,250411,465154,507926,450526,463868,449935,434607,455093,66.91,1.31
10/3/17 1:00,55.2,16.98,3802.54,594.33,397002,101196,1.74,253641,246687,251005,295096,306.4,253806,250774,462751,499284,448856,477.99,472845,450542,447725,66.91,1.31
10/3/17 1:00,55.2,16.98,3788.09,598724,395156,101211,1.74,253422,251071,251213,295096,306.4,254059,250214,440104,317.64,442275,493181,494655,469386,451837,66.91,1.31
10/3/17 1:00,55.2,16.98,3774.22,598969,391904,101227,174022,252916,251115,250939,295096,306.4,255157,249829,446986,340792,430405,496617,522335,490246,477.66,66.91,1.31
10/3/17 1:00,55.2,16.98,1130.86,595581,398364,101242,174057,252971,249983,251136,295096,306.4,253685,250.4,463928,363944,435012,475154,524045,492794,518624,66.91,1.31
10/3/17 1:00,55.2,16.98,1084.31,597046,403667,101257,174091,252554,250258,249225,295096,306.4,253114,249851,460474,500759,432014,428375,505236,503518,551869,66.91,1.31
10/3/17 1:00,55.2,16.98,1037.76,597168,398687,101273,174126,252532,249346,247786,295096,306.4,254344,249818,451.24,514.13,432423,398964,489674,506402,535315,66.91,1.31
10/3/17 1:00,55.2,16.98,2588.77,597.9,394556,101288,17416,252971,248302,247917,295096,306.4,252883,250.62,443232,509595,431.37,412658,470205,476022,487337,66.91,1.31
10/3/17 1:00,55.2,16.98,3026.46,598755,397471,101303,174195,252839,248785,250356,295096,306.4,252092,250642,455.72,507811,444.56,442855,473921,431803,439941,66.91,1.31
10/3/17 1:00,55.2,16.98,2962.89,598755,399316,101307,174229,252686,249.17,251587,295096,306.4,252246,250488,463953,509.2,452.68,453.52,480.28,416.12,424.3,66.91,1.31
10/3/17 1:00,55.2,16.98,2926.07,607086,395508,101305,174264,253257,250884,251.73,295096,306.4,251.96,250203,459073,506.99,458998,454788,483147,421.58,401706,66.91,1.31
10/3/17 1:00,55.2,16.98,2940.53,600861,396694,101302,174298,252993,250.95,251949,295096,306.4,251521,249906,461325,261341,455731,461307,483975,445638,395.28,66.91,1.31
10/3/17 1:00,55.2,16.98,2951.37,593506,398818,10.13,174333,252114,255344,250455,295096,306.4,250653,249972,463953,3147245,457756,461148,492.54,482854,418455,66.91,1.31
10/3/17 1:00,55.2,16.98,2975.2,598602,398452,101298,174367,252092,251104,249467,295096,306.4,249697,250334,454193,368108,468145,450738,480531,499318,452579,66.91,1.31
10/3/17 1:00,55.2,16.98,3053.71,599823,399097,101295,174402,252532,249412,248818,295096,306.4,248104,249774,441456,509625,460182,423496,463592,495594,478403,66.91,1.31
10/3/17 1:00,55.2,16.98,3094.24,596375,397896,101293,174436,252114,249489,248225,295096,306.4,254553,249.39,440029,524378,460773,423264,447176,472102,479453,66.91,1.31
10/3/17 1:00,55.2,16.98,3087.5,593506,397925,101291,174471,251521,248807,248357,295096,306.4,254685,249818,453467,528.51,459642,437055,441341,443458,450703,66.91,1.31
10/3/17 1:00,55.2,16.98,3071.88,599792,401865,101288,174505,251796,250873,248511,295096,306.4,248687,250906,460274,520326,465768,455236,449244,431132,422287,66.91,1.31
10/3/17 1:00,55.2,16.98,3056.25,598877,395332,101286,17454,251598,251455,251224,295096,306.4,253531,251082,450.69,505887,465576,465178,462956,438667,412576,66.91,1.31
10/3/17 1:00,55.2,16.98,3055.86,596.71,398438,101283,174574,251082,251576,252543,295096,306.4,251301,250785,454869,264879,464685,476563,469954,460678,418786,66.91,1.31
10/3/17 1:00,55.2,16.98,3068.75,594.94,396255,101281,174609,251499,253235,251609,295096,306.4,246215,250137,457997,309045,451954,491936,498487,485542,441656,66.91,1.31
10/3/17 1:00,55.2,16.98,3078.03,592285,398394,101279,174643,251521,250433,250291,295096,306.4,255.07,249829,455319,353211,438.98,475176,494714,490694,475199,66.91,1.31
10/3/17 1:00,55.2,16.98,3086.43,587.86,402891,101276,174678,251367,252.51,248972,295096,306.4,251235,250258,455419,504813,439112,426717,470371,494026,503174,66.91,1.31
10/3/17 1:00,55.2,16.98,3091.11,588715,398379,101274,174712,251.51,248236,248511,295096,306.4,254169,250345,448788,514749,445724,418711,449056,497862,517935,66.91,1.31
10/3/17 1:00,55.2,16.98,3096.88,591.4,401982,101272,174747,251158,247489,248225,295096,306.4,252971,250126,442006,517951,442403,436173,457837,462414,473713,66.91,1.31
10/3/17 1:00,55.2,16.98,3097.07,599182,401279,101269,174781,250928,250521,248785,295096,306.4,246478,250192,445.96,520894,437793,448.28,456.13,419708,420054,66.91,1.31
10/3/17 1:00,55.2,16.98,3096.97,602234,393691,101267,174816,250642,251653,250455,295096,306.4,252125,249554,444058,524034,436689,460699,466647,425.73,403553,66.91,1.31
10/3/17 1:00,55.2,16.98,3086.23,598236,397295,101265,17485,250631,250521,251.29,295096,306.4,251202,249456,448588,367683,434043,465.62,482841,459.39,411392,66.91,1.31
10/3/17 1:00,55.2,16.98,3099.12,597.9,403257,101262,174884,250565,252971,251.51,295096,306.4,247939,250038,457321,343326,439383,463339,508.73,492878,438982,66.91,1.31
10/3/17 1:00,55.2,16.98,3109.38,603912,406494,10126,174919,251.06,254377,251444,295096,306.4,254344,250697,462551,318969,446129,462363,500438,493858,472.14,66.91,1.31
10/3/17 1:00,55.2,16.98,3116.99,603912,409995,101258,174953,251.51,254081,251082,295096,306.4,251.96,249642,454193,501468,455546,428479,466.37,478178,492303,66.91,1.31
10/3/17 1:00,55.2,16.98,3121.09,600433,409995,101255,174988,251158,250433,249928,295096,306.4,245731,249236,444058,524352,455839,402796,435939,479606,504306,66.91,1.31
10/3/17 1:00,55.2,16.98,3121.09,599365,409277,101253,174978,250928,248511,249.39,295096,306.4,244116,249.39,441431,515.43,453.76,398.83,426.3,483.33,508.17,66.91,1.31
10/3/17 1:00,55.2,16.98,3104.59,604126,408706,10125,174943,250928,247083,248676,295096,306.4,253828,250961,448588,507702,459025,422444,420931,455666,478758,66.91,1.31
10/3/17 1:00,55.2,16.98,3088.09,606689,403638,101248,174909,251213,249313,248719,295096,306.4,256.63,250807,455044,531516,461.86,441758,421979,421836,429568,66.91,1.31
10/3/17 1:00,55.2,16.98,3090.33,603912,402217,101246,174874,250796,248785,248665,295096,306.4,248181,249697,453843,523018,464.31,440233,431621,412732,402646,66.91,1.31
10/3/17 1:00,55.2,16.98,3103.91,607574,401499,101243,17484,250774,247632,248796,295096,306.4,250763,249675,444634,505917,456862,471521,452134,433711,394947,66.91,1.31
10/3/17 1:00,55.2,16.98,3134.77,610748,409351,101241,174806,251213,247775,248.95,295096,306.4,250225,251543,453117,216.37,451438,498219,473889,466166,412048,66.91,1.31
10/3/17 1:00,55.2,16.98,3153.52,608582,406538,101238,174771,251367,247709,250521,295096,306.4,245929,249895,458647,3084095,445802,492324,491932,491562,449351,66.91,1.31
10/3/17 1:00,55.2,16.98,3152.44,607697,397397,101234,174737,251082,248632,251653,295096,306.4,246632,248796,459248,400449,442619,467928,487523,494642,485909,66.91,1.31
10/3/17 1:00,55.2,16.98,3152.93,605133,393677,101231,174702,250928,251455,252092,295096,306.4,251202,250093,450189,520246,442781,420487,474416,490.47,514187,66.91,1.31
10/3/17 1:00,55.2,16.98,3172.07,601654,396211,101227,174668,251071,250543,251.96,295096,306.4,255839,251993,443958,526448,444023,410289,454614,509146,531676,66.91,1.31
10/3/17 1:00,55.2,16.98,3203.22,601379,399185,101224,174633,250576,248533,250.95,295096,306.4,248.73,251115,451891,510533,444941,430856,443.27,476.05,482152,66.91,1.31
10/3/17 1:00,55.2,16.98,3209.77,600.22,397046,10122,174599,250411,251213,249631,295096,306.4,250.4,250411,454168,505434,443726,445664,455692,432139,421.79,66.91,1.31
10/3/17 1:00,55.2,16.98,3193.07,596588,399507,101217,174565,250345,246.05,248599,295096,306.4,254213,250488,457171,381078,447533,457598,462853,429902,395663,66.91,1.31
